name,slug,product-description,category,brand-partner,system-function,product-page-link,sort-order,seo-title,seo-description
Blue Light Emergency Towers,blue-light-emergency-towers,24/7 emergency communication towers for campuses and public spaces.,Campus & Public Safety,TS&L,Emergency Response,/safety-and-emergency/blue-light-tower,1,Blue Light Emergency Towers | TS&L,Emergency communication towers for campuses and public safety. Reliable 24/7 solutions from TS&L.
Blue Light Retrofit Kits,blue-light-retrofit-kits,Modernize existing blue light systems with energy-efficient retrofit kits.,Campus & Public Safety,TS&L,Emergency Response,/safety-and-emergency/blue-light-retrofit-kit,2,Blue Light Retrofit Kits | TS&L,Energy-efficient blue light retrofit kits. Fast installation and modern reliability.
Blue Light Camera Systems,blue-light-camera-systems,Integrated camera systems for blue light towers and emergency sites.,Campus & Public Safety,TS&L,Surveillance,/safety-and-emergency/blue-light-tower-camera,3,Blue Light Camera Systems | TS&L,Solar-powered blue light tower cameras with 24/7 surveillance and monitoring.
K1 Hemisphere,k1-hemisphere,Smart emergency call box with advanced intelligence and 360° awareness.,Campus & Public Safety,Knightscope,Surveillance,/safety-and-emergency/k1-hemisphere,4,K1 Hemisphere Emergency Call Box | TS&L,Discover the K1 Hemisphere emergency call box for public safety and outdoor spaces.
K5 Autonomous Security Robot,k5-autonomous-security-robot,Autonomous outdoor security robot with 360° cameras and thermal imaging.,Campus & Public Safety,Knightscope,Autonomous Patrol,/safety-and-emergency/k5,5,K5 Autonomous Security Robot | TS&L,24/7 outdoor protection with the K5 autonomous security robot.
Guardian Security Drone System,guardian-security-drone-system,Aerial security drone system for real-time monitoring and rapid response.,Campus & Public Safety,Asylon,Autonomous Patrol,,6,Guardian Security Drone System | TS&L,Aerial security and monitoring with Guardian drone systems.
DroneDog Robotic K9,dronedog-robotic-k9,Robotic K9 unit for autonomous patrol and security operations.,Campus & Public Safety,Asylon,Autonomous Patrol,,7,DroneDog Robotic K9 | TS&L,Autonomous robotic K9 security from Asylon.
CrisisAlert Wearable Panic Button,crisisalert-wearable-panic-button,Wearable panic button for instant emergency alerting and response.,Campus & Public Safety,Centegix,Emergency Response,,8,CrisisAlert Wearable Panic Button | TS&L,Wearable panic button for campus and workplace safety.
EPhone Call Boxes,ephone-call-boxes,Emergency call boxes for blue light towers and public safety.,Campus & Public Safety,Knightscope,Emergency Response,/safety-and-emergency/blue-light-e-phone,9,EPhone Call Boxes | TS&L,Emergency call boxes with cellular and wireless connectivity.
Standard / Lexan Call Box,standard-lexan-call-box,Durable Lexan emergency call boxes for outdoor deployment.,Campus & Public Safety,Knightscope,Emergency Response,/safety-and-emergency/blue-light-call-box,10,Standard Lexan Call Box | TS&L,Reliable emergency call boxes for public safety.
Mobile Security Trailers,mobile-security-trailers,Mobile trailer-mounted security cameras for temporary and permanent sites.,Campus & Public Safety,TS&L,Mobile Surveillance,/mobile-security-trailers,11,Mobile Security Trailers | TS&L,Mobile security camera trailers for businesses and sites.
NightOwl / NightHawk Solar Cameras,nightowl-nighthawk-solar-cameras,Solar-powered surveillance cameras for off-grid and remote locations.,Campus & Public Safety,TS&L,Surveillance,/solar-security-cameras,12,NightOwl NightHawk Solar Cameras | TS&L,Solar security cameras for 24/7 off-grid surveillance.
AED Stands & Protectors,aed-stands-protectors,Stands and protectors for AED units in public and workplace settings.,Campus & Public Safety,Aivia,Emergency Response,/aed-stand,13,AED Stands & Protectors | TS&L,Secure and visible AED mounting solutions.
24/7 AED Station,24-7-aed-station,24/7 AED station for emergency cardiac response in public areas.,Campus & Public Safety,Rotaid,Emergency Response,,14,24/7 AED Station | TS&L,Rotaid 24/7 AED stations for rapid response.
Body Cameras,body-cameras,Body-worn cameras for security and law enforcement.,Campus & Public Safety,Bolide Technology Group,Body-Worn Surveillance,,15,Body Cameras | TS&L,Body-worn surveillance from Bolide Technology Group.
Nx Go Platform,nx-go-platform,Unified video management and command platform for every camera and sensor.,Intelligent Infrastructure Platform,Network Optix,Platform / VMS,,16,Nx Go Platform | TS&L,Unify cameras and devices with Nx Go from Network Optix.
Nx Witness VMS,nx-witness-vms,Professional VMS for video management and analytics.,Intelligent Infrastructure Platform,Network Optix,Platform / VMS,,17,Nx Witness VMS | TS&L,Network Optix Nx Witness video management system.
AI Analytics Suite,ai-analytics-suite,AI-powered video analytics for security and operations.,Intelligent Infrastructure Platform,Network Optix,AI Analytics,,18,AI Analytics Suite | TS&L,AI video analytics from Network Optix.
GIS Mapping & Situational Awareness,gis-mapping-situational-awareness,GIS mapping and situational awareness for unified command view.,Intelligent Infrastructure Platform,Network Optix,Mapping & GIS,,19,GIS Mapping & Situational Awareness | TS&L,Mapping and situational awareness from Network Optix.
Cloud Video Storage,cloud-video-storage,Cloud video storage and retention for surveillance systems.,Intelligent Infrastructure Platform,TS&L,Cloud Storage,,20,Cloud Video Storage | TS&L,Secure cloud video storage from TS&L.
V2X / Connected Intersection,v2x-connected-intersection,V2X and connected intersection solutions for smart traffic.,Intelligent Infrastructure Platform,Network Optix,Traffic / V2X,,21,V2X Connected Intersection | TS&L,V2X and connected intersection technology.
Fleet Management,fleet-management,Fleet management and mobility solutions for vehicles and assets.,Intelligent Infrastructure Platform,Network Optix,Fleet & Mobility,,22,Fleet Management | TS&L,Fleet and mobility solutions from Network Optix.
Camera Metrics & Reporting,camera-metrics-reporting,Camera health metrics and reporting for surveillance systems.,Intelligent Infrastructure Platform,TS&L,Analytics & Reporting,,23,Camera Metrics & Reporting | TS&L,Analytics and reporting for camera systems.
Juganu Phoenix / Phoenix-5G,juganu-phoenix-phoenix-5g,Smart connected lighting with Phoenix and Phoenix-5G.,Smart Lighting & Connected Spaces,Juganu,Smart Lighting,,24,Juganu Phoenix Smart Lighting | TS&L,Smart lighting with Juganu Phoenix and 5G connectivity.
Juganu NEMA Lamp Controller,juganu-nema-lamp-controller,NEMA lamp controller for smart roadway and area lighting.,Smart Lighting & Connected Spaces,Juganu,Smart Lighting,,25,Juganu NEMA Lamp Controller | TS&L,Smart lamp control from Juganu.
Juganu Solitaire,juganu-solitaire,Solitaire smart lighting for connected spaces.,Smart Lighting & Connected Spaces,Juganu,Smart Lighting,,26,Juganu Solitaire | TS&L,Juganu Solitaire smart lighting solutions.
Juganu Tulip,juganu-tulip,Tulip smart luminaires for indoor and outdoor spaces.,Smart Lighting & Connected Spaces,Juganu,Smart Lighting,,27,Juganu Tulip | TS&L,Juganu Tulip smart lighting.
Juganu Calypso,juganu-calypso,Calypso smart lighting for connected environments.,Smart Lighting & Connected Spaces,Juganu,Smart Lighting,,28,Juganu Calypso | TS&L,Juganu Calypso connected lighting.
Juganu Smart Kit,juganu-smart-kit,Smart lighting upgrade kits for existing fixtures.,Smart Lighting & Connected Spaces,Juganu,Smart Lighting,,29,Juganu Smart Kit | TS&L,Juganu Smart Kit for lighting upgrades.
EnGo Slim Solar Light,engo-slim-solar-light,Slim solar-powered light for pathways and areas.,Smart Lighting & Connected Spaces,EnGoPlanet,Solar / Off-Grid,,30,EnGo Slim Solar Light | TS&L,Slim solar lighting from EnGoPlanet.
EnGo Illumo Solar Light,engo-illumo-solar-light,Illumo solar light for sustainable outdoor lighting.,Smart Lighting & Connected Spaces,EnGoPlanet,Solar / Off-Grid,,31,EnGo Illumo Solar Light | TS&L,EnGoPlanet Illumo solar lighting.
EnGo Tower Solar Light,engo-tower-solar-light,Solar light towers for job sites and events.,Smart Lighting & Connected Spaces,EnGoPlanet,Solar / Off-Grid,,32,EnGo Tower Solar Light | TS&L,Solar light towers from EnGoPlanet.
EnGo Leaf Solar Light,engo-leaf-solar-light,Leaf-shaped solar lights for parks and pathways.,Smart Lighting & Connected Spaces,EnGoPlanet,Solar / Off-Grid,,33,EnGo Leaf Solar Light | TS&L,EnGoPlanet Leaf solar lights.
EnGo Smart Solar Bench,engo-smart-solar-bench,Solar bench with charging and connectivity.,Smart Lighting & Connected Spaces,EnGoPlanet,Smart City Furniture,/lighting/engo-bench,34,EnGo Smart Solar Bench | TS&L,Solar charging bench for parks and smart cities.
EnGo Smart Solar Bus Shelter,engo-smart-solar-bus-shelter,Solar-powered bus shelter with lighting and connectivity.,Smart Lighting & Connected Spaces,EnGoPlanet,Smart City Furniture,/lighting/engo-solar-shelter,35,EnGo Smart Solar Bus Shelter | TS&L,Solar bus shelter from EnGoPlanet.
Blue Light Solar Power Kits,blue-light-solar-power-kits,Solar power kits for blue light towers and emergency systems.,Smart Lighting & Connected Spaces,TS&L,Solar / Off-Grid,/safety-and-emergency/blue-light-tower-solar-kit,36,Blue Light Solar Power Kits | TS&L,Off-grid solar for blue light towers.
Traditional / Roadway Lighting,traditional-roadway-lighting,Traditional and LED roadway lighting solutions.,Smart Lighting & Connected Spaces,Acuity Brands,Roadway Lighting,,37,Traditional Roadway Lighting | TS&L,Roadway lighting from Acuity Brands.
